Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20000405,0.023585,-0.007952,-999,-0.029724,-0.007678,-0.003772,0.006529,-0.013699,-999,0.013173,-0.006701,0.001575
20000406,0.008693,-0.006012,-999,0.026258,0.010961,0.008653,0.012973,-0.018056,-999,0.006218,0.019201,0.010482
20000407,0.006334,-0.016129,-999,-0.015458,-0.020408,0.015013,0.034152,-0.01273,-999,-0.002809,0.002546,0
20000410,-0.003921,0.02459,-999,-0.014618,0.028646,0.001585,-0.03612,0.025072,-999,-0.002254,-0.006602,0.02334
20000411,-0.0029,0.024,-999,0.017582,0.006329,0.012131,-0.024625,0.01747,-999,0.025974,0.008691,0.007096
20000412,-0.027426,0.026042,-999,0.008639,0.010692,-0.017718,-0.064764,0.011676,-999,0.008806,-0.018246,-0.002013
20000413,-0.013886,-0.027919,-999,-0.002141,-0.026136,0.002653,-0.019073,-0.006789,-999,0.001091,-0.025297,-0.018659
20000414,-0.040728,-0.05483,-999,-0.021459,-0.08115,-0.065608,-0.052348,-0.049214,-999,-0.036512,-0.060381,-0.079137
20000417,0.017164,0.001381,-999,-0.024123,0.008345,0.024349,0.054293,0.028756,-999,-0.015271,0.008455,0.001116
20000418,0.026421,-0.018621,-999,0.005056,0.04,0.00387,0.049701,0.006289,-999,0.002872,0.02739,0.021182
20000419,-0.009301,-0.012649,-999,0.0218,-0.013263,0.003855,-0.026241,0.011806,-999,0.009164,0.026115,0.007642
20000420,0.004803,0.024911,-999,0.001641,0.018817,0.008228,-0.008787,-0.000686,-999,0.003405,0.004242,0.013001
20000424,-0.010865,0.002083,-999,0.010923,0.023747,0.001088,-0.030733,0.027473,-999,0.027149,-0.014256,0.010695
20000425,0.04152,0.001386,-999,0.001621,0.030928,0.052174,0.057927,-0.004679,-999,0.029736,0.025174,0.017989
20000426,-0.011285,-0.017301,-999,0.012945,-0.02,-0.014979,-0.01902,-0.011417,-999,-0.002139,0.010449,-0.00104
20000427,-0.003307,-0.003521,-999,0.013845,-0.020408,0.001049,0.03114,0,-999,-0.022508,-0.006205,-0.020812
20000428,-0.006207,0.007774,-999,-0.029412,0.020833,-0.00681,0.002849,-0.028533,-999,-0.000548,0.009365,-0.025505
20000501,0.013569,-0.001403,-999,0.016234,-0.022321,0.023207,0.014205,0.012587,-999,0,0.003093,0.030534
20000502,-0.019974,0.030899,-999,0.014377,-0.009785,-0.010309,-0.018487,0.002762,-999,-0.036204,-0.020041,-0.006878
20000503,-0.017346,-0.016349,-999,-0.025722,-0.017787,-0.033333,-0.043379,0,-999,0.003415,-0.027792,-0.047416
20000504,0.001324,0.010388,-999,0.025862,-0.015426,0.001616,-0.00716,0,-999,-0.001702,-0.003236,-0.016219
20000505,0.01212,-0.000685,-999,0.010504,0.006812,0.017751,0.027344,0.023416,-999,0.002273,-0.001082,0.012507
20000508,-0.007511,-0.005487,-999,0.012474,0.019621,-0.000529,-0.03539,0.020861,-999,0.006803,0.002167,-0.002807
20000509,-0.008007,0.017931,-999,0.000513,-0.002654,-0.007932,-0.018496,0.004614,-999,-0.003378,-0.007027,0.010135
20000510,-0.022556,-0.012195,-999,0.003079,-0.026613,-0.010128,-0.048502,-0.006562,-999,0.019209,-0.001633,0
20000511,0.022851,0.013032,-999,0.031202,0.030075,0.024771,0.028247,-0.001321,-999,0.014967,-0.001091,0.008919
20000512,0.010838,0.003385,-999,0.003472,0.011281,0.012086,0.012946,-0.013228,-999,-0.015838,0.017467,0.014365
20000515,0.017287,0.017544,-999,0.020761,0.044619,0.016615,0.018703,0.024799,-999,0.019423,0.016631,0.003268
20000516,0.008819,-0.01061,-999,-0.01937,-0.005653,0.009193,0.029988,-0.004578,-999,-0.004355,0.013193,0.0076
20000517,-0.009595,0.002681,-999,0.004938,-0.017056,-0.006579,-0.01426,0.003285,-999,-0.015309,-0.011458,-0.023707
20000518,-0.009257,-0.008021,-999,-0.001474,0.012853,-0.004585,-0.025316,-0.001965,-999,0.008329,-0.001054,0.019868
20000519,-0.018688,0.002695,-999,0.001969,-0.017766,-0.027636,-0.038961,0.007218,-999,-0.018722,-0.026371,-0.025433
20000522,-0.007529,-0.005376,-999,-0.00835,0.01292,-0.017368,-0.004505,-0.003257,-999,0.006734,-0.011376,-0.014992
20000523,-0.014726,-0.014189,-999,-0.003962,0.006378,-0.004285,-0.048481,-0.005229,-999,-0.018395,-0.008219,-0.00451
20000524,0.016304,-0.004112,-999,0.000995,0.012674,0.014524,0.039402,0.021682,-999,0.017036,0.00663,-0.01812
20000525,-0.017157,-0.036476,-999,-0.018381,-0.025031,-0.018028,-0.01634,-0.002572,-999,-0.01675,-0.007684,-0.009227
20000526,0.001134,-0.015714,-999,0.000506,-0.003851,-0.0054,0.003322,0.003224,-999,0.019875,-0.007743,-0.020955
20000530,0.034194,0.010885,-999,0.014163,0.020619,0.017915,0.064901,-0.005784,-999,0.007238,0.041249,0.007729
20000531,0.000657,-0.008615,-999,0.029925,0.011995,0.006933,-0.019279,-0.009696,-999,0.005528,0.010707,0.023599
20000601,0.017505,0.002896,-999,-0.009201,0.033063,0.007945,0.045022,0.002611,-999,0.007147,-0.006356,0.007493
20000602,0.017419,0.016606,-999,-0.034213,0.041063,0.007357,0.04551,-0.034505,-999,-0.003275,0.02452,0.02746
20000605,-0.004862,-0.008523,-999,-0.01417,-0.022622,-0.001565,0.002902,-0.001349,-999,-0.023001,-0.003122,-0.005568
20000606,-0.00446,0.001433,-999,0.039014,-0.021958,-0.007315,-0.013889,0.003376,-999,0.023543,-0.008351,-0.031915
20000607,0.006934,-0.021459,-999,-0.012846,0.014563,-0.004737,0.018779,0.010767,-999,0.003834,-0.002632,0
